"","bandno","date","bodreg","site","sex","urb.score","urbanization","mass","tarsus","wing","pvol","pvol.tars","nestid","B2","H1","FWHM","S1U","bodycond","julian","year"
"69","187321226",2022-06-17,"lc","Big Shanty","Female",2.17321,"urban",188,35.29,"120",7.18833925925926,0.203693376572946,"120",6.8737995421988,641,128,0.217197955630317,0.585325558335744,167,2022
"70","187321226",2022-06-17,"rr","Big Shanty","Female",2.17321,"urban",188,35.29,"120",7.18833925925926,0.203693376572946,"120",6.0126056673391,631,230,0.175272498834976,0.585325558335744,167,2022
"71","187321226",2022-06-17,"th","Big Shanty","Female",2.17321,"urban",188,35.29,"120",7.18833925925926,0.203693376572946,"120",1.86255951955544,593.6,239.2,0.206644631067898,0.585325558335744,167,2022
"72","187321227",2022-06-17,"ba","Big Shanty","Male",2.17321,"urban",186,28.46,"121",6.33592888888889,0.222625751542125,"121",2.53394670110024,612,318.5,0.208925618087315,-6.23346403493798,167,2022
"73","187321227",2022-06-17,"be","Big Shanty","Male",2.17321,"urban",186,28.46,"121",6.33592888888889,0.222625751542125,"121",2.83380143797442,631.75,214.75,0.144621550841908,-6.23346403493798,167,2022
"74","187321227",2022-06-17,"lc","Big Shanty","Male",2.17321,"urban",186,28.46,"121",6.33592888888889,0.222625751542125,"121",5.17937836039572,631.666666666667,222.333333333333,0.179359296620722,-6.23346403493798,167,2022
"75","187321227",2022-06-17,"rc","Big Shanty","Male",2.17321,"urban",186,28.46,"121",6.33592888888889,0.222625751542125,"121",4.54794599929114,639,194.857142857143,0.220331372919939,-6.23346403493798,167,2022
"76","187321227",2022-06-17,"rr","Big Shanty","Male",2.17321,"urban",186,28.46,"121",6.33592888888889,0.222625751542125,"121",5.57971047326719,626,293.666666666667,0.128696203131905,-6.23346403493798,167,2022
"77","187321227",2022-06-17,"th","Big Shanty","Male",2.17321,"urban",186,28.46,"121",6.33592888888889,0.222625751542125,"121",3.46237385223864,633.2,263.4,0.224753428823886,-6.23346403493798,167,2022
"78","187321228",2022-06-17,"ba","Big Shanty","Female",2.17321,"urban",182,34.79,"123",13.4800502222222,0.387469106703714,"122",3.35269291325137,592,239.333333333333,0.197935808581678,0.118956778514553,167,2022
"79","187321228",2022-06-17,"be","Big Shanty","Female",2.17321,"urban",182,34.79,"123",13.4800502222222,0.387469106703714,"122",3.6904378482254,630.375,252.5,0.186056642330418,0.118956778514553,167,2022
